Species,N,Order,Family,BM,AGILITY,AGILITY2,ASCR,PSCR,LSCR,SCR,ASCR MAMMAL PREDICTION,PSCR MAMMAL PREDICTION,LSCR MAMMAL PREDICTION,SCR MAMMAL PREDICTION,ASCR PRIMATE PREDICTION,PSCR PRIMATE PREDICTION,LSCR PRIMATE PREDICTION,SCR PRIMATE PREDICTION,,prosthion-inion
Macaca mulatta,1,Primates,Cercopithecidae,9286,m,4,2.7,2.5,2.4,2.6,3.6,3.6,4.1,3.9,3.1,3.3,3.9,3.4,,
Macaca nemestrina,1,Primates,Cercopithecidae,7771,m,4,2.7,2.7,2.1,2.5,3.6,3.9,3.7,3.9,3.1,3.8,3.2,3.4,,123.9
Macaca nigra,2,Primates,Cercopithecidae,7680,m,4,2.7,2.3,2.4,2.5,3.7,3.5,4.1,3.9,3.2,3.2,3.9,3.4,,
Macaca sylvanus,1,Primates,Cercopithecidae,13550,m,4,2.8,2.6,2.5,2.6,3.4,3.5,4,3.8,2.9,3.1,3.7,3.2,,
Macaca tonkeana,1,Primates,Cercopithecidae,11950,m,4,2.6,2.4,2.4,2.5,3.3,3.4,3.9,3.6,2.7,2.9,3.6,3,,
Mandrillus sphinx,1,Primates,Cercopithecidae,31600,m,4,2.8,2.8,2.6,2.8,3,3.2,3.6,3.3,2.3,2.7,3.1,2.7,,154.1
Microcebus murinus,1,Primates,Cheirogaleidae,69,m,4,1.2,1.2,1.2,1.2,4.2,4.5,5.2,4.7,4.8,5,5,4.7,,31.4
Microcebus rufus,3,Primates,Cheirogaleidae,43,m,4,1.2,1,1.1,1.1,4.5,4.3,5.1,4.7,5.4,4.6,4.8,4.7,,30.7
Nasalis larvatus,2,Primates,Cercopithecidae,20400,mf,5,3,2.7,2.7,2.8,3.4,3.3,3.9,3.6,2.7,2.8,3.6,3,,124.1
Nycticebus coucang,1,Primates,Loridae,856,s,2,1.7,1.4,1.3,1.5,3.7,3.5,3.7,3.7,3.6,3.2,3.1,3.1,,57.9
Otolemur crassicaudatus,2,Primates,Galagonidae,1150,m,4,2.1,2,1.7,2,4.1,4.2,4.4,4.5,4.2,4.4,4.2,4.3,,64.5
Otolemur garnetti,2,Primates,Galagonidae,764,f,6,2,1.8,1.9,1.9,4.2,4.2,5.1,4.8,4.4,4.4,5.2,4.7,,
Pan paniscus,6,Primates,Hominidae,39100,m,4,2.6,2.5,2.4,2.5,2.7,2.9,3.2,2.9,2,2.2,2.6,2.1,,
Pan troglodytes,9,Primates,Hominidae,44967,m,4,2.7,2.8,2.5,2.7,2.8,3,3.2,3,2,2.4,2.7,2.3,,182
Papio hamadryas,5,Primates,Cercopithecidae,16730,m,4,2.9,2.7,2.7,2.7,3.4,3.4,4.1,3.8,2.8,3,3.9,3.2,,220.7
Perodicticus potto,2,Primates,Loridae,985,s,2,1.9,1.7,1.4,1.7,3.9,3.9,3.7,4,3.9,3.8,3,3.5,,62
Pithecia pithecia,1,Primates,Cebidae,1940,m,4,2.5,2.1,2,2.2,4.2,4.1,4.5,4.5,4.2,4.1,4.3,4.4,,
Pongo pygmaeus,7,Primates,Hominidae,56950,s,2,2.7,2.6,2.4,2.6,2.7,2.8,3,2.8,1.9,2.1,2.4,2,,
Procolobus badius,2,Primates,Cercopithecidae,8583,m,4,2.4,2.3,2.1,2.3,3.3,3.4,3.7,3.5,2.8,3,3.2,2.9,,109.4
Propithecus diadema,2,Primates,Indridae,6100,f,6,3.1,2.7,2.4,2.7,4.1,4,4.3,4.5,3.8,4,4.2,4.2,,
Propithecus verreauxi,3,Primates,Indridae,3643,f,6,2.4,2.4,2.2,2.3,3.8,4,4.4,4.3,3.5,4,4.2,3.9,,81.2
Pygathrix nemaeus,1,Primates,Cercopithecidae,11000,mf,5,2.9,2.8,2.5,2.7,3.6,3.8,4.1,4.1,3.1,3.6,3.9,3.6,,
Saguinus oedipus,2,Primates,Callitrichidae,418,f,6,1.4,1.5,1.5,1.5,3.6,4,4.7,4.2,3.7,4.1,4.5,3.8,,47.8
Saimiri sciureus ,3,Primates,Cebidae,759,f,6,2.1,1.8,1.8,1.9,4.4,4.2,4.9,4.7,4.6,4.3,4.8,4.6,,61.1
